No,Timestamp,RSSI No.1,RSSI No.2,Battery Voltage,Firmware Version
326,2021-07-21T17:00:00.000Z,-137,-137,4062,"rel.5.1h
"
327,2021-07-21T18:00:00.000Z,-137,-137,4062,"rel.5.1h
"
328,2021-07-21T19:00:00.000Z,-137,-137,4064,"rel.5.1h
"
329,2021-07-21T20:00:00.000Z,-137,-137,4076,"rel.5.1h
"
330,2021-07-21T21:00:00.000Z,-137,-137,4080,"rel.5.1h
"
331,2021-07-21T22:00:00.000Z,-137,-137,4080,"rel.5.1h
"
332,2021-07-21T23:00:00.000Z,-137,-137,4080,"rel.5.1h
"
333,2021-07-22T00:00:00.000Z,-137,-137,4080,"rel.5.1h
"
334,2021-07-22T01:00:00.000Z,-137,-137,4064,"rel.5.1h
"
335,2021-07-22T02:00:00.000Z,-137,-137,4080,"rel.5.1h
"
336,2021-07-22T03:00:00.000Z,-137,-137,4078,"rel.5.1h
"
337,2021-07-22T04:00:00.000Z,-58,-137,4064,"rel.5.1h
"
338,2021-07-22T06:00:00.000Z,-58,-137,4080,"rel.5.1h
"
339,2021-07-22T07:00:00.000Z,-57,-137,4080,"rel.5.1h
"
340,2021-07-22T08:00:00.000Z,-57,-137,4064,"rel.5.1h
"
341,2021-07-22T09:00:00.000Z,-58,-137,4080,"rel.5.1h
"
342,2021-07-22T10:00:00.000Z,-58,-137,4080,"rel.5.1h
"
343,2021-07-22T11:00:00.000Z,-57,-137,4080,"rel.5.1h
"
344,2021-07-22T12:00:00.000Z,-57,-137,4064,"rel.5.1h
"
345,2021-07-22T13:00:00.000Z,-57,-137,4080,"rel.5.1h
"
346,2021-07-22T14:00:00.000Z,-58,-137,4074,"rel.5.1h
"
347,2021-07-22T15:00:00.000Z,-57,-137,4062,"rel.5.1h
"
348,2021-07-22T16:00:00.000Z,-57,-137,4080,"rel.5.1h
"
349,2021-07-22T17:00:00.000Z,-58,-137,4080,"rel.5.1h
"
350,2021-07-22T18:00:00.000Z,-57,-137,4070,"rel.5.1h
"
351,2021-07-22T19:00:00.000Z,-137,-137,4064,"rel.5.1h
"
352,2021-07-22T20:00:00.000Z,-137,-137,4062,"rel.5.1h
"
353,2021-07-22T21:00:00.000Z,-137,-137,4080,"rel.5.1h
"
